player_id,name,G,MPG
achiupr01,Precious Achiuwa,74,21.9
adebaba01,Bam Adebayo,71,34.0
agbajoc01,Ochai Agbaji,78,21.0
aldamsa01,Santi Aldama,61,26.5
alexani01,Nickeil Alexander-Walker,82,23.4
allengr01,Grayson Allen,75,33.5
allenja01,Jarrett Allen,77,31.7
anderky01,Kyle Anderson,79,22.6
antetgi01,Giannis Antetokounmpo,73,35.2
anthoco01,Cole Anthony,81,22.4
avdijde01,Deni Avdija,75,30.1
banchpa01,Paolo Banchero,80,35.0
barneha02,Harrison Barnes,82,29.0
barnesc01,Scottie Barnes,60,34.9
batumni01,Nicolas Batum,60,25.5
beaslma01,Malik Beasley,79,29.6
beverpa01,Patrick Beverley,73,20.0
beysa01,Saddiq Bey,63,32.7
bogdabo01,Bogdan BogdanoviÄ,79,30.4
bookede01,Devin Booker,68,36.0
branhma01,Malaki Branham,75,21.3
braunch01,Christian Braun,82,20.2
bridgmi01,Mikal Bridges,82,34.8
bridgmi02,Miles Bridges,69,37.4
brookdi01,Dillon Brooks,72,30.9
brownbr01,Bruce Brown,67,27.9
brownja02,Jaylen Brown,70,33.5
brunsja01,Jalen Brunson,77,35.4
butleji01,Jimmy Butler,60,34.0
caldwke01,Kentavious Caldwell-Pope,76,31.6
camarto01,Toumani Camara,70,24.8
capelca01,Clint Capela,73,25.8
carusal01,Alex Caruso,71,28.7
claxtni01,Nic Claxton,71,29.8
coffeam01,Amir Coffey,70,20.9
collijo01,John Collins,68,28.0
colliza01,Zach Collins,69,22.1
conlemi01,Mike Conley,76,28.9
connapa01,Pat Connaughton,76,22.1
coulibi01,Bilal Coulibaly,63,27.2
cunnica01,Cade Cunningham,62,33.5
curryst01,Stephen Curry,74,32.7
daniedy01,Dyson Daniels,61,22.3
davisan02,Anthony Davis,76,35.5
derozde01,DeMar DeRozan,79,37.8
dickgr01,Gradey Dick,60,21.1
dinwisp01,Spencer Dinwiddie,76,28.3
divindo01,Donte DiVincenzo,81,29.1
doncilu01,Luka DonÄiÄ,70,37.5
dortlu01,Luguentz Dort,79,28.4
dosunay01,Ayo Dosunmu,76,29.1
duranke01,Kevin Durant,75,37.2
durenja01,Jalen Duren,61,29.1
edwaran01,Anthony Edwards,79,35.1
finnedo01,Dorian Finney-Smith,68,28.4
fontesi01,Simone Fontecchio,66,24.9
foxde01,De'Aaron Fox,74,35.9
gaffoda01,Daniel Gafford,74,24.5
georgke01,Keyonte George,75,27.0
georgpa01,Paul George,74,33.8
giddejo01,Josh Giddey,80,25.1
gilgesh01,Shai Gilgeous-Alexander,75,34.0
goberru01,Rudy Gobert,76,34.1
gordoaa01,Aaron Gordon,73,31.5
gordoer01,Eric Gordon,68,27.8
greenja05,Jalen Green,82,31.7
hachiru01,Rui Hachimura,68,26.9
halibty01,Tyrese Haliburton,69,32.2
hardati02,Tim Hardaway Jr.,79,26.8
hardeja01,James Harden,72,34.3
harrito02,Tobias Harris,70,33.8
harteis01,Isaiah Hartenstein,75,25.3
hartjo01,Josh Hart,81,33.4
hausesa01,Sam Hauser,79,22.0
hendesc01,Scoot Henderson,62,28.5
hieldbu01,Buddy Hield,84,25.7
highsha01,Haywood Highsmith,66,20.7
holidjr01,Jrue Holiday,69,32.8
holmgch01,Chet Holmgren,82,29.4
horfoal01,Al Horford,65,26.8
huertke01,Kevin Huerter,64,24.4
ingrabr01,Brandon Ingram,64,32.9
iveyja01,Jaden Ivey,77,28.8
jacksja02,Jaren Jackson Jr.,66,32.2
jacksre01,Reggie Jackson,82,22.2
jamesle01,LeBron James,71,35.3
jaqueja01,Jaime Jaquez Jr.,75,28.2
johnske04,Keldon Johnson,69,29.5
jokicni01,Nikola JokiÄ,79,34.6
jonesde02,Derrick Jones Jr.,76,23.5
joneshe01,Herbert Jones,76,30.5
jonestr01,Tre Jones,77,27.8
jonesty01,Tyus Jones,66,29.3
kesslwa01,Walker Kessler,64,23.3
kispeco01,Corey Kispert,80,25.8
kuminjo01,Jonathan Kuminga,74,26.3
kuzmaky01,Kyle Kuzma,70,32.6
leonaka01,Kawhi Leonard,68,34.3
leverca01,Caris LeVert,68,28.8
lillada01,Damian Lillard,73,35.3
lopezbr01,Brook Lopez,79,30.5
lowryky01,Kyle Lowry,60,28.2
mannte01,Terance Mann,75,25.0
martica02,Caleb Martin,64,27.4
maxeyty01,Tyrese Maxey,70,37.5
mccolcj01,CJ McCollum,66,32.7
mcdanja02,Jaden McDaniels,72,29.2
millebr02,Brandon Miller,74,32.2
monkma01,Malik Monk,72,26.0
murrade01,Dejounte Murray,78,35.7
murrake02,Keegan Murray,77,33.6
murrakr01,Kris Murray,62,21.7
nembhan01,Andrew Nembhard,68,25.0
nesmiaa01,Aaron Nesmith,72,27.7
niangge01,Georges Niang,82,22.3
nurkiju01,Jusuf NurkiÄ,76,27.3
okorois01,Isaac Okoro,69,27.3
olynyke01,Kelly Olynyk,78,22.6
onealro01,Royce O'Neale,79,24.7
oubreke01,Kelly Oubre Jr.,68,30.2
podzibr01,Brandin Podziemski,74,26.6
poolejo01,Jordan Poole,78,30.1
portemi01,Michael Porter Jr.,81,31.7
portibo01,Bobby Portis,82,24.5
powelno01,Norman Powell,76,26.2
princta02,Taurean Prince,78,27.0
pritcpa01,Payton Pritchard,82,22.3
quickim01,Immanuel Quickley,68,29.2
reaveau01,Austin Reaves,82,32.1
reidna01,Naz Reid,81,24.2
richani01,Nick Richards,67,26.3
robindu01,Duncan Robinson,68,28.0
roziete01,Terry Rozier,61,33.4
russeda01,D'Angelo Russell,76,32.7
sabondo01,Domantas Sabonis,82,35.7
schrode01,Dennis SchrÃ¶der,80,31.1
