Date,MP,GmSc,player_id,season
2023-10-25,3.9333333333333336,2.0,coffeam01,2024
2023-10-29,5.5,0.0,coffeam01,2024
2023-10-31,10.266666666666667,-2.1,coffeam01,2024
2023-11-06,4.416666666666667,0.0,coffeam01,2024
2023-11-10,12.916666666666666,2.8,coffeam01,2024
2023-11-20,4.25,-0.7,coffeam01,2024
2023-11-22,10.166666666666666,5.0,coffeam01,2024
2023-11-25,4.75,1.0,coffeam01,2024
2023-11-29,1.3,0.0,coffeam01,2024
2023-11-30,0.55,-0.8,coffeam01,2024
2023-12-12,8.75,2.4,coffeam01,2024
2023-12-14,29.483333333333334,10.0,coffeam01,2024
2023-12-16,16.766666666666666,0.4,coffeam01,2024
2023-12-18,18.3,0.8,coffeam01,2024
2023-12-20,39.35,8.6,coffeam01,2024
2023-12-21,32.9,6.6,coffeam01,2024
2023-12-23,17.4,0.6,coffeam01,2024
2023-12-26,22.5,2.9,coffeam01,2024
2023-12-29,30.866666666666667,14.2,coffeam01,2024
2024-01-01,18.533333333333335,5.0,coffeam01,2024
2024-01-03,13.033333333333333,2.6,coffeam01,2024
2024-01-05,20.9,1.9,coffeam01,2024
2024-01-07,13.15,-0.4,coffeam01,2024
2024-01-08,23.483333333333334,6.5,coffeam01,2024
2024-01-10,17.866666666666667,5.3,coffeam01,2024
2024-01-12,25.766666666666666,13.1,coffeam01,2024
2024-01-14,9.066666666666666,0.0,coffeam01,2024
2024-01-16,15.516666666666667,7.9,coffeam01,2024
2024-01-21,14.983333333333333,5.6,coffeam01,2024
2024-01-23,24.15,8.2,coffeam01,2024
2024-01-26,19.266666666666666,2.6,coffeam01,2024
2024-01-27,26.466666666666665,8.7,coffeam01,2024
2024-01-29,27.2,9.9,coffeam01,2024
2024-01-31,20.85,14.7,coffeam01,2024
2024-02-02,23.95,16.0,coffeam01,2024
2024-02-04,22.933333333333334,5.5,coffeam01,2024
2024-02-05,26.1,9.5,coffeam01,2024
2024-02-07,21.333333333333332,8.1,coffeam01,2024
2024-02-10,26.733333333333334,9.2,coffeam01,2024
2024-02-12,25.983333333333334,9.0,coffeam01,2024
2024-02-14,23.7,10.7,coffeam01,2024
2024-02-22,28.3,6.6,coffeam01,2024
2024-02-23,24.966666666666665,1.2,coffeam01,2024
2024-02-25,19.9,-0.5,coffeam01,2024
2024-02-28,25.066666666666666,6.8,coffeam01,2024
2024-03-01,22.083333333333332,11.1,coffeam01,2024
2024-03-03,25.1,2.4,coffeam01,2024
2024-03-04,26.116666666666667,0.8,coffeam01,2024
2024-03-06,13.166666666666666,1.3,coffeam01,2024
2024-03-09,15.483333333333333,-1.1,coffeam01,2024
2024-03-10,30.166666666666668,15.0,coffeam01,2024
2024-03-12,18.233333333333334,5.6,coffeam01,2024
2024-03-14,21.983333333333334,6.8,coffeam01,2024
2024-03-15,21.566666666666666,5.9,coffeam01,2024
2024-03-17,22.416666666666668,-0.7,coffeam01,2024
2024-03-20,30.733333333333334,7.7,coffeam01,2024
2024-03-22,27.45,6.7,coffeam01,2024
2024-03-24,23.966666666666665,1.2,coffeam01,2024
2024-03-25,27.066666666666666,3.5,coffeam01,2024
2024-03-27,22.283333333333335,9.6,coffeam01,2024
2024-03-29,19.166666666666668,5.0,coffeam01,2024
2024-03-31,15.716666666666667,0.9,coffeam01,2024
2024-04-02,23.533333333333335,0.5,coffeam01,2024
2024-04-04,23.466666666666665,9.4,coffeam01,2024
2024-04-05,30.683333333333334,6.7,coffeam01,2024
2024-04-07,28.033333333333335,1.2,coffeam01,2024
2024-04-09,34.43333333333333,10.3,coffeam01,2024
2024-04-10,37.083333333333336,6.6,coffeam01,2024
2024-04-12,30.933333333333334,9.5,coffeam01,2024
2024-04-14,36.03333333333333,11.9,coffeam01,2024
