Date,MP,GmSc,player_id,season
2023-10-25,30.933333333333334,15.4,collijo01,2024
2023-10-27,34.25,11.6,collijo01,2024
2023-10-28,28.033333333333335,11.6,collijo01,2024
2023-10-30,34.016666666666666,9.8,collijo01,2024
2023-11-01,27.483333333333334,12.4,collijo01,2024
2023-11-02,33.233333333333334,16.3,collijo01,2024
2023-11-04,28.55,8.9,collijo01,2024
2023-11-06,28.666666666666668,9.3,collijo01,2024
2023-11-08,27.466666666666665,10.7,collijo01,2024
2023-11-10,37.88333333333333,14.9,collijo01,2024
2023-11-14,32.21666666666667,12.1,collijo01,2024
2023-11-17,34.96666666666667,14.7,collijo01,2024
2023-11-19,43.4,13.3,collijo01,2024
2023-11-21,24.983333333333334,10.8,collijo01,2024
2023-11-22,32.233333333333334,12.4,collijo01,2024
2023-11-25,23.483333333333334,6.4,collijo01,2024
2023-11-27,29.366666666666667,6.1,collijo01,2024
2023-11-29,29.3,10.7,collijo01,2024
2023-11-30,28.35,1.0,collijo01,2024
2023-12-02,35.266666666666666,15.5,collijo01,2024
2023-12-06,23.433333333333334,4.7,collijo01,2024
2023-12-08,35.483333333333334,23.3,collijo01,2024
2023-12-18,20.35,3.5,collijo01,2024
2023-12-20,22.5,13.2,collijo01,2024
2023-12-21,31.616666666666667,8.5,collijo01,2024
2023-12-23,26.55,7.8,collijo01,2024
2023-12-26,18.05,1.4,collijo01,2024
2023-12-28,26.333333333333332,7.6,collijo01,2024
2023-12-30,20.733333333333334,3.5,collijo01,2024
2024-01-01,17.633333333333333,11.5,collijo01,2024
2024-01-03,23.5,12.0,collijo01,2024
2024-01-05,21.916666666666668,9.4,collijo01,2024
2024-01-06,27.866666666666667,17.8,collijo01,2024
2024-01-08,26.833333333333332,10.1,collijo01,2024
2024-01-10,24.083333333333332,13.1,collijo01,2024
2024-01-12,14.466666666666667,3.3,collijo01,2024
2024-01-13,34.166666666666664,22.3,collijo01,2024
2024-01-15,20.233333333333334,8.7,collijo01,2024
2024-01-18,23.616666666666667,14.7,collijo01,2024
2024-01-20,20.35,4.7,collijo01,2024
2024-01-23,24.45,11.2,collijo01,2024
2024-01-25,32.8,23.4,collijo01,2024
2024-01-27,31.75,18.1,collijo01,2024
2024-01-29,21.316666666666666,15.3,collijo01,2024
2024-01-30,28.4,8.2,collijo01,2024
2024-02-01,33.63333333333333,16.9,collijo01,2024
2024-02-04,24.233333333333334,12.5,collijo01,2024
2024-02-06,29.466666666666665,17.5,collijo01,2024
2024-02-08,30.533333333333335,19.6,collijo01,2024
2024-02-12,28.35,12.1,collijo01,2024
2024-02-14,27.85,8.9,collijo01,2024
2024-02-15,30.583333333333332,17.4,collijo01,2024
2024-02-22,30.75,10.3,collijo01,2024
2024-02-25,26.8,19.8,collijo01,2024
2024-02-27,22.383333333333333,-0.1,collijo01,2024
2024-02-29,35.61666666666667,16.3,collijo01,2024
2024-03-02,33.166666666666664,14.9,collijo01,2024
2024-03-04,34.6,17.7,collijo01,2024
2024-03-06,32.21666666666667,21.7,collijo01,2024
2024-03-09,32.6,15.2,collijo01,2024
2024-03-12,29.316666666666666,5.7,collijo01,2024
2024-03-15,29.683333333333334,16.4,collijo01,2024
2024-03-18,19.85,7.3,collijo01,2024
2024-03-20,23.366666666666667,11.0,collijo01,2024
2024-03-23,19.95,21.2,collijo01,2024
2024-03-25,30.6,20.5,collijo01,2024
2024-03-27,22.75,12.4,collijo01,2024
2024-03-29,30.25,29.5,collijo01,2024
