Date,MP,GmSc,player_id,season
2022-10-19,32.03333333333333,14.5,conlemi01,2023
2022-10-21,36.21666666666667,10.7,conlemi01,2023
2022-10-23,36.3,5.3,conlemi01,2023
2022-10-24,27.3,11.1,conlemi01,2023
2022-10-26,27.766666666666666,6.5,conlemi01,2023
2022-10-28,23.466666666666665,14.4,conlemi01,2023
2022-10-31,30.266666666666666,15.0,conlemi01,2023
2022-11-02,32.78333333333333,10.1,conlemi01,2023
2022-11-04,31.333333333333332,17.1,conlemi01,2023
2022-11-06,32.983333333333334,17.0,conlemi01,2023
2022-11-07,23.766666666666666,18.6,conlemi01,2023
2022-11-09,28.716666666666665,10.8,conlemi01,2023
2022-11-12,29.683333333333334,4.3,conlemi01,2023
2022-11-13,31.533333333333335,0.6,conlemi01,2023
2022-11-15,33.88333333333333,11.7,conlemi01,2023
2022-11-18,30.266666666666666,14.2,conlemi01,2023
2022-11-19,9.083333333333334,1.9,conlemi01,2023
2022-12-09,24.533333333333335,13.4,conlemi01,2023
2022-12-13,28.866666666666667,3.2,conlemi01,2023
2022-12-15,32.25,-1.2,conlemi01,2023
2022-12-17,25.366666666666667,3.9,conlemi01,2023
2022-12-19,28.383333333333333,8.1,conlemi01,2023
2022-12-20,26.233333333333334,9.3,conlemi01,2023
2022-12-22,27.233333333333334,7.1,conlemi01,2023
2022-12-26,32.88333333333333,16.6,conlemi01,2023
2022-12-28,32.31666666666667,1.7,conlemi01,2023
2022-12-30,29.816666666666666,13.1,conlemi01,2023
2022-12-31,30.95,6.5,conlemi01,2023
2023-01-03,33.31666666666667,19.4,conlemi01,2023
2023-01-05,31.833333333333332,12.1,conlemi01,2023
2023-01-07,27.866666666666667,8.0,conlemi01,2023
2023-01-08,28.1,4.7,conlemi01,2023
2023-01-10,32.85,6.9,conlemi01,2023
2023-01-14,29.166666666666668,15.4,conlemi01,2023
2023-01-16,30.3,17.4,conlemi01,2023
2023-01-18,28.716666666666665,21.2,conlemi01,2023
2023-01-20,32.166666666666664,10.8,conlemi01,2023
2023-01-23,27.283333333333335,11.5,conlemi01,2023
2023-01-25,31.85,12.1,conlemi01,2023
2023-01-28,33.71666666666667,9.0,conlemi01,2023
2023-02-01,31.1,19.5,conlemi01,2023
2023-02-03,30.0,16.7,conlemi01,2023
2023-02-06,31.233333333333334,11.6,conlemi01,2023
2023-02-10,25.7,6.3,conlemi01,2023
2023-02-13,32.46666666666667,12.6,conlemi01,2023
2023-02-16,33.45,3.0,conlemi01,2023
2023-02-24,30.616666666666667,9.2,conlemi01,2023
2023-02-26,33.833333333333336,11.4,conlemi01,2023
2023-02-28,29.233333333333334,10.0,conlemi01,2023
2023-03-03,30.733333333333334,10.8,conlemi01,2023
2023-03-04,30.333333333333332,21.4,conlemi01,2023
2023-03-07,24.35,4.3,conlemi01,2023
2023-03-10,40.93333333333333,11.7,conlemi01,2023
2023-03-13,27.783333333333335,18.0,conlemi01,2023
2023-03-15,29.8,4.8,conlemi01,2023
2023-03-17,45.96666666666667,29.1,conlemi01,2023
2023-03-18,26.033333333333335,9.9,conlemi01,2023
2023-03-20,32.25,28.3,conlemi01,2023
2023-03-22,30.083333333333332,11.6,conlemi01,2023
2023-03-26,31.383333333333333,6.3,conlemi01,2023
2023-03-27,27.5,14.9,conlemi01,2023
2023-03-29,31.533333333333335,4.6,conlemi01,2023
2023-03-31,31.583333333333332,24.1,conlemi01,2023
2023-04-02,35.45,10.2,conlemi01,2023
2023-04-04,33.03333333333333,15.0,conlemi01,2023
2023-04-08,24.083333333333332,16.7,conlemi01,2023
2023-04-09,34.45,15.2,conlemi01,2023
