Date,MP,GmSc,player_id,season
2021-10-30,18.916666666666668,-0.2,cunnica01,2022
2021-11-02,29.233333333333334,-3.1,cunnica01,2022
2021-11-04,31.833333333333332,11.5,cunnica01,2022
2021-11-05,30.283333333333335,3.5,cunnica01,2022
2021-11-10,30.466666666666665,11.8,cunnica01,2022
2021-11-12,31.1,2.9,cunnica01,2022
2021-11-13,33.0,7.8,cunnica01,2022
2021-11-15,35.35,21.4,cunnica01,2022
2021-11-17,33.53333333333333,12.9,cunnica01,2022
2021-11-19,36.25,21.0,cunnica01,2022
2021-11-21,38.083333333333336,9.5,cunnica01,2022
2021-11-23,28.866666666666667,0.3,cunnica01,2022
2021-11-24,29.9,5.7,cunnica01,2022
2021-11-26,28.483333333333334,5.5,cunnica01,2022
2021-11-28,33.78333333333333,6.6,cunnica01,2022
2021-11-30,33.06666666666667,18.8,cunnica01,2022
2021-12-02,31.3,11.7,cunnica01,2022
2021-12-06,36.28333333333333,17.4,cunnica01,2022
2021-12-08,37.43333333333333,11.7,cunnica01,2022
2021-12-10,31.366666666666667,9.0,cunnica01,2022
2021-12-12,35.516666666666666,19.1,cunnica01,2022
2021-12-16,34.11666666666667,14.0,cunnica01,2022
2021-12-18,36.35,20.0,cunnica01,2022
2021-12-19,31.1,5.5,cunnica01,2022
2021-12-21,32.916666666666664,2.6,cunnica01,2022
2022-01-03,37.03333333333333,12.3,cunnica01,2022
2022-01-05,26.383333333333333,11.9,cunnica01,2022
2022-01-06,31.366666666666667,5.0,cunnica01,2022
2022-01-08,31.916666666666668,4.8,cunnica01,2022
2022-01-10,38.36666666666667,24.6,cunnica01,2022
2022-01-11,29.366666666666667,-0.5,cunnica01,2022
2022-01-14,33.233333333333334,14.9,cunnica01,2022
2022-01-16,24.583333333333332,16.6,cunnica01,2022
2022-01-18,27.633333333333333,0.9,cunnica01,2022
2022-01-19,20.6,5.5,cunnica01,2022
2022-01-21,41.21666666666667,19.5,cunnica01,2022
2022-01-23,36.233333333333334,12.3,cunnica01,2022
2022-01-25,39.833333333333336,28.2,cunnica01,2022
2022-01-28,30.116666666666667,-1.7,cunnica01,2022
2022-01-30,37.016666666666666,20.2,cunnica01,2022
2022-02-01,21.016666666666666,3.0,cunnica01,2022
2022-02-11,21.8,4.1,cunnica01,2022
2022-02-14,27.2,4.2,cunnica01,2022
2022-02-16,36.43333333333333,7.8,cunnica01,2022
2022-02-24,31.75,12.4,cunnica01,2022
2022-02-26,27.0,15.9,cunnica01,2022
2022-02-27,32.7,8.9,cunnica01,2022
2022-03-01,31.583333333333332,14.0,cunnica01,2022
2022-03-03,38.13333333333333,19.6,cunnica01,2022
2022-03-04,32.25,11.0,cunnica01,2022
2022-03-07,43.1,20.0,cunnica01,2022
2022-03-09,35.833333333333336,12.5,cunnica01,2022
2022-03-11,40.86666666666667,14.3,cunnica01,2022
2022-03-13,44.083333333333336,20.7,cunnica01,2022
2022-03-19,36.233333333333334,12.4,cunnica01,2022
2022-03-21,35.56666666666667,16.2,cunnica01,2022
2022-03-23,35.266666666666666,14.7,cunnica01,2022
2022-03-25,35.05,16.7,cunnica01,2022
2022-03-27,36.85,10.3,cunnica01,2022
2022-03-29,32.13333333333333,24.1,cunnica01,2022
2022-03-31,35.266666666666666,22.2,cunnica01,2022
2022-04-01,7.7,-2.8,cunnica01,2022
2022-04-06,38.35,19.0,cunnica01,2022
2022-04-08,38.516666666666666,3.6,cunnica01,2022
