Date,MP,GmSc,player_id,season
2023-10-25,18.883333333333333,4.4,daniedy01,2024
2023-10-28,21.766666666666666,-1.6,daniedy01,2024
2023-10-30,24.15,7.6,daniedy01,2024
2023-11-01,25.383333333333333,5.1,daniedy01,2024
2023-11-02,24.85,14.3,daniedy01,2024
2023-11-04,21.9,11.9,daniedy01,2024
2023-11-06,20.533333333333335,7.1,daniedy01,2024
2023-11-08,31.05,6.2,daniedy01,2024
2023-11-10,40.833333333333336,10.0,daniedy01,2024
2023-11-12,31.433333333333334,13.5,daniedy01,2024
2023-11-14,28.683333333333334,10.2,daniedy01,2024
2023-11-17,33.13333333333333,17.3,daniedy01,2024
2023-11-18,37.36666666666667,9.5,daniedy01,2024
2023-11-20,24.616666666666667,4.9,daniedy01,2024
2023-11-22,28.75,6.0,daniedy01,2024
2023-11-24,35.516666666666666,9.9,daniedy01,2024
2023-11-25,33.71666666666667,4.0,daniedy01,2024
2023-11-27,23.866666666666667,-0.7,daniedy01,2024
2023-11-29,14.25,5.2,daniedy01,2024
2023-12-01,11.533333333333333,0.1,daniedy01,2024
2023-12-02,21.8,6.9,daniedy01,2024
2023-12-04,6.366666666666666,1.6,daniedy01,2024
2023-12-07,16.966666666666665,4.4,daniedy01,2024
2023-12-11,27.633333333333333,7.8,daniedy01,2024
2023-12-13,15.816666666666666,3.6,daniedy01,2024
2023-12-15,14.566666666666666,0.6,daniedy01,2024
2023-12-17,17.55,7.4,daniedy01,2024
2023-12-19,13.416666666666666,3.3,daniedy01,2024
2023-12-21,20.166666666666668,6.3,daniedy01,2024
2023-12-23,13.5,-1.4,daniedy01,2024
2023-12-26,18.733333333333334,10.4,daniedy01,2024
2023-12-28,13.866666666666667,2.2,daniedy01,2024
2023-12-31,7.75,1.6,daniedy01,2024
2024-01-02,19.633333333333333,9.8,daniedy01,2024
2024-01-03,23.516666666666666,9.7,daniedy01,2024
2024-01-05,26.2,5.4,daniedy01,2024
2024-01-07,29.1,17.1,daniedy01,2024
2024-01-10,22.483333333333334,8.2,daniedy01,2024
2024-01-12,15.4,5.9,daniedy01,2024
2024-01-13,37.6,11.4,daniedy01,2024
2024-01-15,18.983333333333334,2.9,daniedy01,2024
2024-01-17,13.383333333333333,-1.7,daniedy01,2024
2024-01-19,10.95,1.8,daniedy01,2024
2024-01-23,17.333333333333332,2.4,daniedy01,2024
2024-01-26,17.333333333333332,0.4,daniedy01,2024
2024-01-27,17.983333333333334,1.3,daniedy01,2024
2024-01-29,13.766666666666667,4.1,daniedy01,2024
2024-01-31,23.733333333333334,7.3,daniedy01,2024
2024-02-02,21.416666666666668,8.0,daniedy01,2024
2024-02-05,21.066666666666666,9.7,daniedy01,2024
2024-02-07,21.816666666666666,13.0,daniedy01,2024
2024-02-09,26.55,4.1,daniedy01,2024
2024-03-30,10.65,4.4,daniedy01,2024
2024-04-01,25.283333333333335,12.2,daniedy01,2024
2024-04-03,21.35,14.5,daniedy01,2024
2024-04-05,37.166666666666664,7.1,daniedy01,2024
2024-04-07,28.016666666666666,10.1,daniedy01,2024
2024-04-09,28.083333333333332,5.6,daniedy01,2024
2024-04-11,25.45,7.8,daniedy01,2024
2024-04-12,26.066666666666666,14.8,daniedy01,2024
2024-04-14,17.616666666666667,0.9,daniedy01,2024
