Date,MP,GmSc,player_id,season
2022-10-19,36.13333333333333,34.6,derozde01,2023
2022-10-21,36.78333333333333,23.9,derozde01,2023
2022-10-22,32.516666666666666,10.4,derozde01,2023
2022-10-24,32.75,19.7,derozde01,2023
2022-10-26,32.28333333333333,9.1,derozde01,2023
2022-10-28,35.55,24.6,derozde01,2023
2022-10-29,34.25,16.9,derozde01,2023
2022-11-01,32.75,11.6,derozde01,2023
2022-11-02,28.283333333333335,4.7,derozde01,2023
2022-11-04,35.86666666666667,38.2,derozde01,2023
2022-11-06,37.483333333333334,15.7,derozde01,2023
2022-11-07,35.63333333333333,9.3,derozde01,2023
2022-11-09,36.63333333333333,19.7,derozde01,2023
2022-11-13,25.666666666666668,12.8,derozde01,2023
2022-11-16,30.883333333333333,26.8,derozde01,2023
2022-11-18,43.63333333333333,26.2,derozde01,2023
2022-11-21,35.05,18.6,derozde01,2023
2022-11-23,37.55,31.6,derozde01,2023
2022-11-25,42.266666666666666,18.5,derozde01,2023
2022-11-28,35.666666666666664,20.8,derozde01,2023
2022-11-30,31.783333333333335,23.5,derozde01,2023
2022-12-02,35.75,11.2,derozde01,2023
2022-12-04,35.4,9.3,derozde01,2023
2022-12-07,37.25,15.7,derozde01,2023
2022-12-10,31.566666666666666,26.3,derozde01,2023
2022-12-11,45.31666666666667,31.0,derozde01,2023
2022-12-14,39.8,23.3,derozde01,2023
2022-12-16,30.766666666666666,6.4,derozde01,2023
2022-12-18,38.86666666666667,24.9,derozde01,2023
2022-12-20,39.516666666666666,20.4,derozde01,2023
2022-12-21,37.833333333333336,20.0,derozde01,2023
2022-12-23,36.96666666666667,23.3,derozde01,2023
2022-12-26,40.95,28.4,derozde01,2023
2022-12-28,44.416666666666664,39.0,derozde01,2023
2022-12-30,34.65,14.6,derozde01,2023
2022-12-31,38.13333333333333,13.3,derozde01,2023
2023-01-02,45.916666666666664,33.4,derozde01,2023
2023-01-04,35.35,15.7,derozde01,2023
2023-01-06,37.15,9.5,derozde01,2023
2023-01-07,39.63333333333333,27.1,derozde01,2023
2023-01-09,23.1,10.7,derozde01,2023
2023-01-19,37.71666666666667,20.5,derozde01,2023
2023-01-23,37.31666666666667,21.0,derozde01,2023
2023-01-24,39.6,25.6,derozde01,2023
2023-01-26,35.28333333333333,18.7,derozde01,2023
2023-01-28,38.3,28.5,derozde01,2023
2023-01-31,35.85,5.7,derozde01,2023
2023-02-02,38.21666666666667,11.1,derozde01,2023
2023-02-04,39.85,24.7,derozde01,2023
2023-02-06,33.75,12.7,derozde01,2023
2023-02-09,35.983333333333334,8.1,derozde01,2023
2023-02-11,39.916666666666664,10.3,derozde01,2023
2023-02-13,35.7,9.0,derozde01,2023
2023-02-24,27.65,12.2,derozde01,2023
2023-02-26,35.31666666666667,27.9,derozde01,2023
2023-02-28,34.68333333333333,4.6,derozde01,2023
2023-03-01,36.666666666666664,17.6,derozde01,2023
2023-03-03,35.68333333333333,27.4,derozde01,2023
2023-03-05,37.833333333333336,15.2,derozde01,2023
2023-03-08,38.18333333333333,15.4,derozde01,2023
2023-03-11,38.96666666666667,18.7,derozde01,2023
2023-03-15,39.63333333333333,24.4,derozde01,2023
2023-03-17,51.93333333333333,45.7,derozde01,2023
2023-03-18,41.233333333333334,28.2,derozde01,2023
2023-03-20,46.36666666666667,17.9,derozde01,2023
2023-03-22,20.533333333333335,0.3,derozde01,2023
2023-03-26,36.46666666666667,17.4,derozde01,2023
2023-03-27,33.15,19.4,derozde01,2023
2023-03-29,38.516666666666666,19.0,derozde01,2023
2023-03-31,32.86666666666667,19.4,derozde01,2023
2023-04-02,33.9,23.8,derozde01,2023
2023-04-04,36.68333333333333,13.7,derozde01,2023
2023-04-05,36.35,3.3,derozde01,2023
2023-04-09,23.75,13.0,derozde01,2023
