Date,MP,GmSc,player_id,season
2023-10-25,13.783333333333333,-0.9,hausesa01,2024
2023-10-27,10.2,1.9,hausesa01,2024
2023-10-30,25.133333333333333,5.0,hausesa01,2024
2023-11-01,19.483333333333334,13.8,hausesa01,2024
2023-11-04,18.533333333333335,3.8,hausesa01,2024
2023-11-06,24.75,7.7,hausesa01,2024
2023-11-08,18.666666666666668,12.3,hausesa01,2024
2023-11-10,24.633333333333333,11.3,hausesa01,2024
2023-11-11,18.416666666666668,9.8,hausesa01,2024
2023-11-13,21.416666666666668,12.0,hausesa01,2024
2023-11-15,35.21666666666667,5.2,hausesa01,2024
2023-11-17,22.7,12.1,hausesa01,2024
2023-11-19,21.85,14.6,hausesa01,2024
2023-11-20,37.43333333333333,-4.1,hausesa01,2024
2023-11-22,19.7,8.7,hausesa01,2024
2023-11-24,25.283333333333335,7.4,hausesa01,2024
2023-11-26,31.733333333333334,9.9,hausesa01,2024
2023-11-28,20.716666666666665,5.0,hausesa01,2024
2023-12-01,25.866666666666667,9.2,hausesa01,2024
2023-12-04,22.65,13.2,hausesa01,2024
2023-12-08,20.95,-0.6,hausesa01,2024
2023-12-12,19.65,8.3,hausesa01,2024
2023-12-14,18.016666666666666,8.0,hausesa01,2024
2023-12-15,31.5,15.3,hausesa01,2024
2023-12-17,16.5,2.3,hausesa01,2024
2023-12-19,20.633333333333333,-3.7,hausesa01,2024
2023-12-20,34.86666666666667,8.4,hausesa01,2024
2023-12-23,18.633333333333333,2.1,hausesa01,2024
2023-12-25,14.633333333333333,-0.1,hausesa01,2024
2023-12-28,17.733333333333334,2.6,hausesa01,2024
2023-12-29,34.13333333333333,8.6,hausesa01,2024
2023-12-31,20.266666666666666,8.5,hausesa01,2024
2024-01-02,10.383333333333333,5.0,hausesa01,2024
2024-01-05,23.483333333333334,11.2,hausesa01,2024
2024-01-06,16.433333333333334,0.9,hausesa01,2024
2024-01-10,17.966666666666665,3.7,hausesa01,2024
2024-01-11,23.6,12.2,hausesa01,2024
2024-01-13,20.233333333333334,2.3,hausesa01,2024
2024-01-15,16.183333333333334,4.2,hausesa01,2024
2024-01-17,20.033333333333335,4.6,hausesa01,2024
2024-01-19,15.966666666666667,-0.5,hausesa01,2024
2024-01-21,30.616666666666667,9.6,hausesa01,2024
2024-01-22,15.4,4.0,hausesa01,2024
2024-01-25,12.3,4.1,hausesa01,2024
2024-01-27,19.916666666666668,5.2,hausesa01,2024
2024-01-29,25.683333333333334,8.7,hausesa01,2024
2024-01-30,23.15,5.8,hausesa01,2024
2024-02-01,22.65,12.2,hausesa01,2024
2024-02-04,23.683333333333334,2.5,hausesa01,2024
2024-02-07,24.7,5.5,hausesa01,2024
2024-02-09,16.216666666666665,2.8,hausesa01,2024
2024-02-11,14.733333333333333,3.6,hausesa01,2024
2024-02-13,14.333333333333334,1.5,hausesa01,2024
2024-02-14,29.116666666666667,13.6,hausesa01,2024
2024-02-22,14.466666666666667,8.8,hausesa01,2024
2024-02-24,10.483333333333333,6.3,hausesa01,2024
2024-02-27,21.183333333333334,1.6,hausesa01,2024
2024-03-01,15.183333333333334,-0.6,hausesa01,2024
2024-03-03,19.633333333333333,7.3,hausesa01,2024
2024-03-05,14.066666666666666,5.5,hausesa01,2024
2024-03-07,10.283333333333333,6.1,hausesa01,2024
2024-03-09,17.816666666666666,1.2,hausesa01,2024
2024-03-11,31.916666666666668,20.1,hausesa01,2024
2024-03-12,34.21666666666667,11.4,hausesa01,2024
2024-03-14,22.6,7.9,hausesa01,2024
2024-03-17,22.816666666666666,28.0,hausesa01,2024
2024-03-22,23.833333333333332,8.7,hausesa01,2024
2024-03-23,32.1,22.5,hausesa01,2024
2024-03-25,26.733333333333334,4.3,hausesa01,2024
2024-03-28,22.516666666666666,7.3,hausesa01,2024
2024-03-30,13.533333333333333,3.5,hausesa01,2024
2024-04-01,24.233333333333334,19.6,hausesa01,2024
2024-04-03,21.516666666666666,5.4,hausesa01,2024
2024-04-05,36.28333333333333,-4.0,hausesa01,2024
2024-04-07,27.083333333333332,9.9,hausesa01,2024
2024-04-09,28.016666666666666,8.3,hausesa01,2024
2024-04-11,22.066666666666666,15.8,hausesa01,2024
2024-04-12,30.2,9.1,hausesa01,2024
2024-04-14,35.266666666666666,10.0,hausesa01,2024
