Date,MP,GmSc,player_id,season
2021-10-20,27.65,7.7,johnske04,2022
2021-10-22,37.4,22.2,johnske04,2022
2021-10-23,29.483333333333334,11.1,johnske04,2022
2021-10-26,23.433333333333334,4.1,johnske04,2022
2021-10-28,27.35,5.1,johnske04,2022
2021-10-30,31.183333333333334,10.9,johnske04,2022
2021-11-01,23.1,6.0,johnske04,2022
2021-11-03,30.866666666666667,6.5,johnske04,2022
2021-11-05,33.266666666666666,15.4,johnske04,2022
2021-11-07,37.766666666666666,18.6,johnske04,2022
2021-11-10,31.616666666666667,14.4,johnske04,2022
2021-11-12,29.333333333333332,10.3,johnske04,2022
2021-11-14,38.666666666666664,15.4,johnske04,2022
2021-11-16,33.38333333333333,7.2,johnske04,2022
2021-11-18,27.316666666666666,11.2,johnske04,2022
2021-11-22,26.8,4.5,johnske04,2022
2021-11-24,34.96666666666667,9.0,johnske04,2022
2021-11-26,38.233333333333334,18.0,johnske04,2022
2021-11-29,34.766666666666666,12.3,johnske04,2022
2021-12-02,33.7,9.9,johnske04,2022
2021-12-04,38.2,10.3,johnske04,2022
2021-12-06,31.366666666666667,7.2,johnske04,2022
2021-12-07,15.716666666666667,3.7,johnske04,2022
2021-12-11,20.516666666666666,12.2,johnske04,2022
2021-12-12,29.483333333333334,12.1,johnske04,2022
2021-12-15,31.833333333333332,14.2,johnske04,2022
2021-12-17,31.1,21.3,johnske04,2022
2021-12-19,31.85,12.2,johnske04,2022
2021-12-20,31.75,9.4,johnske04,2022
2021-12-23,33.05,11.4,johnske04,2022
2021-12-26,23.433333333333334,21.2,johnske04,2022
2021-12-27,34.5,8.5,johnske04,2022
2021-12-31,27.516666666666666,-3.0,johnske04,2022
2022-01-01,38.38333333333333,0.6,johnske04,2022
2022-01-04,29.133333333333333,-1.1,johnske04,2022
2022-01-05,32.983333333333334,9.5,johnske04,2022
2022-01-12,24.433333333333334,14.3,johnske04,2022
2022-01-14,30.4,13.3,johnske04,2022
2022-01-15,33.333333333333336,11.7,johnske04,2022
2022-01-17,33.15,10.1,johnske04,2022
2022-01-19,22.683333333333334,9.3,johnske04,2022
2022-01-21,31.516666666666666,9.3,johnske04,2022
2022-01-23,33.416666666666664,16.2,johnske04,2022
2022-01-25,27.316666666666666,13.9,johnske04,2022
2022-01-26,36.333333333333336,14.3,johnske04,2022
2022-01-28,39.56666666666667,18.4,johnske04,2022
2022-01-30,39.4,11.6,johnske04,2022
2022-02-01,35.11666666666667,16.3,johnske04,2022
2022-02-03,23.566666666666666,0.6,johnske04,2022
2022-02-04,33.56666666666667,22.5,johnske04,2022
2022-02-09,33.46666666666667,9.5,johnske04,2022
2022-02-11,32.6,25.1,johnske04,2022
2022-02-12,32.3,11.4,johnske04,2022
2022-02-14,31.2,7.7,johnske04,2022
2022-02-16,35.766666666666666,16.9,johnske04,2022
2022-02-25,46.36666666666667,24.1,johnske04,2022
2022-02-28,29.95,5.8,johnske04,2022
2022-03-03,15.633333333333333,-2.0,johnske04,2022
2022-03-05,37.21666666666667,23.6,johnske04,2022
2022-03-07,32.4,5.9,johnske04,2022
2022-03-09,35.333333333333336,20.5,johnske04,2022
2022-03-11,37.31666666666667,7.8,johnske04,2022
2022-03-14,37.2,28.5,johnske04,2022
2022-03-16,35.083333333333336,20.4,johnske04,2022
2022-03-18,27.65,6.7,johnske04,2022
2022-03-20,33.95,12.5,johnske04,2022
2022-03-23,28.35,20.6,johnske04,2022
2022-03-26,35.81666666666667,16.6,johnske04,2022
2022-03-28,36.45,17.0,johnske04,2022
2022-03-30,37.766666666666666,15.4,johnske04,2022
2022-04-01,27.2,18.9,johnske04,2022
2022-04-03,37.03333333333333,16.9,johnske04,2022
2022-04-05,33.56666666666667,13.8,johnske04,2022
2022-04-07,33.666666666666664,16.3,johnske04,2022
2022-04-10,33.5,21.0,johnske04,2022
