Date,MP,GmSc,player_id,season
2022-10-24,6.216666666666667,0.6,miltosh01,2023
2022-10-28,8.833333333333334,-0.1,miltosh01,2023
2022-10-29,6.916666666666667,6.1,miltosh01,2023
2022-10-31,7.483333333333333,-1.4,miltosh01,2023
2022-11-02,15.366666666666667,-0.9,miltosh01,2023
2022-11-04,17.466666666666665,2.4,miltosh01,2023
2022-11-07,12.316666666666666,-0.8,miltosh01,2023
2022-11-10,17.65,3.1,miltosh01,2023
2022-11-12,20.516666666666666,7.9,miltosh01,2023
2022-11-13,11.483333333333333,3.8,miltosh01,2023
2022-11-18,31.183333333333334,10.5,miltosh01,2023
2022-11-19,38.05,16.5,miltosh01,2023
2022-11-22,36.416666666666664,13.3,miltosh01,2023
2022-11-23,38.86666666666667,21.2,miltosh01,2023
2022-11-25,41.81666666666667,25.1,miltosh01,2023
2022-11-27,37.7,30.7,miltosh01,2023
2022-11-28,39.55,17.8,miltosh01,2023
2022-11-30,32.21666666666667,8.0,miltosh01,2023
2022-12-02,39.5,12.3,miltosh01,2023
2022-12-05,26.483333333333334,7.1,miltosh01,2023
2022-12-09,24.2,0.5,miltosh01,2023
2022-12-11,20.633333333333333,9.2,miltosh01,2023
2022-12-13,32.583333333333336,9.5,miltosh01,2023
2022-12-16,30.95,12.0,miltosh01,2023
2022-12-19,18.583333333333332,1.9,miltosh01,2023
2022-12-21,32.2,8.2,miltosh01,2023
2022-12-23,22.783333333333335,9.2,miltosh01,2023
2022-12-25,23.383333333333333,7.3,miltosh01,2023
2022-12-27,17.066666666666666,-2.6,miltosh01,2023
2022-12-30,13.183333333333334,6.7,miltosh01,2023
2022-12-31,38.233333333333334,14.1,miltosh01,2023
2023-01-02,12.183333333333334,0.3,miltosh01,2023
2023-01-04,18.483333333333334,13.7,miltosh01,2023
2023-01-06,23.083333333333332,2.9,miltosh01,2023
2023-01-08,25.2,7.2,miltosh01,2023
2023-01-10,23.8,12.4,miltosh01,2023
2023-01-12,15.1,1.1,miltosh01,2023
2023-01-14,28.816666666666666,11.8,miltosh01,2023
2023-01-15,13.85,4.8,miltosh01,2023
2023-01-17,16.116666666666667,2.3,miltosh01,2023
2023-01-19,14.183333333333334,8.4,miltosh01,2023
2023-01-21,29.566666666666666,14.9,miltosh01,2023
2023-01-25,15.1,5.0,miltosh01,2023
2023-01-28,15.433333333333334,2.7,miltosh01,2023
2023-01-30,16.8,1.6,miltosh01,2023
2023-02-01,14.0,3.8,miltosh01,2023
2023-02-03,22.25,12.2,miltosh01,2023
2023-02-05,9.8,-1.5,miltosh01,2023
2023-02-08,11.666666666666666,3.3,miltosh01,2023
2023-02-10,10.183333333333334,0.9,miltosh01,2023
2023-02-11,14.283333333333333,7.0,miltosh01,2023
2023-02-13,18.616666666666667,4.6,miltosh01,2023
2023-02-15,9.683333333333334,0.2,miltosh01,2023
2023-02-23,8.25,0.0,miltosh01,2023
2023-02-25,1.8,0.0,miltosh01,2023
2023-02-27,10.316666666666666,0.1,miltosh01,2023
2023-03-01,20.6,6.6,miltosh01,2023
2023-03-02,4.766666666666667,2.7,miltosh01,2023
2023-03-04,8.75,0.2,miltosh01,2023
2023-03-06,29.666666666666668,10.9,miltosh01,2023
2023-03-07,21.75,5.7,miltosh01,2023
2023-03-10,7.75,2.6,miltosh01,2023
2023-03-12,19.066666666666666,5.1,miltosh01,2023
2023-03-15,20.666666666666668,12.2,miltosh01,2023
2023-03-17,25.95,12.7,miltosh01,2023
2023-03-18,28.0,9.5,miltosh01,2023
2023-03-20,10.066666666666666,3.4,miltosh01,2023
2023-03-22,17.8,0.8,miltosh01,2023
2023-03-24,23.366666666666667,3.8,miltosh01,2023
2023-03-25,24.183333333333334,5.4,miltosh01,2023
2023-03-27,21.733333333333334,0.4,miltosh01,2023
2023-03-31,15.016666666666667,2.9,miltosh01,2023
2023-04-02,4.05,0.9,miltosh01,2023
2023-04-06,26.783333333333335,12.6,miltosh01,2023
2023-04-07,42.65,9.6,miltosh01,2023
2023-04-09,36.266666666666666,19.4,miltosh01,2023
