Date,MP,GmSc,player_id,season
2023-10-25,29.683333333333334,12.6,murrake02,2024
2023-10-27,39.6,8.7,murrake02,2024
2023-10-29,33.21666666666667,16.4,murrake02,2024
2023-11-01,39.4,7.0,murrake02,2024
2023-11-04,33.1,0.7,murrake02,2024
2023-11-06,27.933333333333334,6.3,murrake02,2024
2023-11-08,31.2,3.9,murrake02,2024
2023-11-10,40.2,21.2,murrake02,2024
2023-11-13,37.7,24.4,murrake02,2024
2023-11-15,30.783333333333335,6.9,murrake02,2024
2023-11-17,38.483333333333334,2.7,murrake02,2024
2023-11-19,32.516666666666666,13.6,murrake02,2024
2023-11-20,16.366666666666667,5.2,murrake02,2024
2023-12-02,23.433333333333334,2.4,murrake02,2024
2023-12-04,31.066666666666666,7.2,murrake02,2024
2023-12-08,29.733333333333334,5.9,murrake02,2024
2023-12-11,33.78333333333333,20.3,murrake02,2024
2023-12-12,31.266666666666666,14.2,murrake02,2024
2023-12-14,31.333333333333332,11.4,murrake02,2024
2023-12-16,36.1,42.7,murrake02,2024
2023-12-18,32.21666666666667,20.8,murrake02,2024
2023-12-20,26.266666666666666,5.4,murrake02,2024
2023-12-22,32.916666666666664,16.2,murrake02,2024
2023-12-23,39.666666666666664,15.2,murrake02,2024
2023-12-26,35.516666666666666,2.4,murrake02,2024
2023-12-29,36.266666666666666,5.1,murrake02,2024
2023-12-31,26.333333333333332,5.9,murrake02,2024
2024-01-02,37.483333333333334,5.5,murrake02,2024
2024-01-03,45.7,25.4,murrake02,2024
2024-01-05,34.516666666666666,15.0,murrake02,2024
2024-01-07,26.0,3.8,murrake02,2024
2024-01-09,34.666666666666664,28.8,murrake02,2024
2024-01-10,31.6,20.6,murrake02,2024
2024-01-12,35.21666666666667,12.1,murrake02,2024
2024-01-14,19.466666666666665,-0.9,murrake02,2024
2024-01-16,35.3,15.2,murrake02,2024
2024-01-18,38.11666666666667,22.8,murrake02,2024
2024-01-22,32.233333333333334,11.0,murrake02,2024
2024-01-25,37.983333333333334,12.1,murrake02,2024
2024-01-27,39.56666666666667,10.6,murrake02,2024
2024-01-29,24.616666666666667,1.4,murrake02,2024
2024-01-31,38.483333333333334,28.9,murrake02,2024
2024-02-02,28.083333333333332,2.3,murrake02,2024
2024-02-03,31.016666666666666,5.9,murrake02,2024
2024-02-05,29.583333333333332,5.8,murrake02,2024
2024-02-07,20.316666666666666,0.3,murrake02,2024
2024-02-09,26.633333333333333,11.2,murrake02,2024
2024-02-11,33.86666666666667,14.3,murrake02,2024
2024-02-13,33.516666666666666,2.8,murrake02,2024
2024-02-14,34.733333333333334,0.3,murrake02,2024
2024-02-22,34.65,9.8,murrake02,2024
2024-02-25,37.11666666666667,8.7,murrake02,2024
2024-02-26,35.86666666666667,25.9,murrake02,2024
2024-02-28,33.45,12.8,murrake02,2024
2024-03-01,42.81666666666667,13.2,murrake02,2024
2024-03-04,38.733333333333334,13.1,murrake02,2024
2024-03-06,31.033333333333335,5.5,murrake02,2024
2024-03-07,30.9,0.7,murrake02,2024
2024-03-10,32.28333333333333,10.6,murrake02,2024
2024-03-13,38.9,17.1,murrake02,2024
2024-03-16,33.516666666666666,6.2,murrake02,2024
2024-03-18,41.583333333333336,10.8,murrake02,2024
2024-03-20,30.7,7.1,murrake02,2024
2024-03-21,29.55,12.0,murrake02,2024
2024-03-23,37.833333333333336,20.1,murrake02,2024
2024-03-25,37.583333333333336,16.8,murrake02,2024
2024-03-26,33.43333333333333,12.9,murrake02,2024
2024-03-29,35.43333333333333,7.8,murrake02,2024
2024-03-31,35.35,20.4,murrake02,2024
2024-04-02,37.88333333333333,12.6,murrake02,2024
2024-04-04,31.616666666666667,9.7,murrake02,2024
2024-04-05,41.63333333333333,7.7,murrake02,2024
2024-04-07,38.05,17.0,murrake02,2024
2024-04-09,38.28333333333333,11.4,murrake02,2024
2024-04-11,35.55,15.4,murrake02,2024
2024-04-12,42.666666666666664,18.8,murrake02,2024
2024-04-14,27.283333333333335,7.3,murrake02,2024
