Date,MP,GmSc,player_id,season
2021-10-30,14.0,-0.7,okekech01,2022
2021-11-01,20.616666666666667,5.5,okekech01,2022
2021-11-03,18.5,6.4,okekech01,2022
2021-11-05,19.966666666666665,7.7,okekech01,2022
2021-11-07,19.883333333333333,2.2,okekech01,2022
2021-11-10,23.2,0.3,okekech01,2022
2021-11-13,18.566666666666666,1.8,okekech01,2022
2021-11-15,24.816666666666666,3.3,okekech01,2022
2021-11-17,18.6,8.3,okekech01,2022
2021-11-19,19.583333333333332,15.4,okekech01,2022
2021-11-20,24.0,8.7,okekech01,2022
2021-11-22,26.266666666666666,11.8,okekech01,2022
2021-11-24,20.233333333333334,-1.0,okekech01,2022
2021-11-26,25.2,2.9,okekech01,2022
2021-11-27,18.283333333333335,2.3,okekech01,2022
2021-11-29,27.7,7.8,okekech01,2022
2021-12-01,20.716666666666665,2.5,okekech01,2022
2021-12-03,18.9,6.9,okekech01,2022
2021-12-06,25.35,8.4,okekech01,2022
2021-12-08,13.516666666666667,-0.7,okekech01,2022
2021-12-11,15.7,1.4,okekech01,2022
2021-12-12,22.516666666666666,-3.0,okekech01,2022
2021-12-15,32.05,2.5,okekech01,2022
2021-12-17,38.56666666666667,23.9,okekech01,2022
2021-12-18,35.35,12.4,okekech01,2022
2021-12-22,30.1,11.6,okekech01,2022
2021-12-23,16.766666666666666,-0.4,okekech01,2022
2022-01-05,20.733333333333334,4.2,okekech01,2022
2022-01-08,26.316666666666666,2.9,okekech01,2022
2022-01-09,34.13333333333333,10.9,okekech01,2022
2022-01-12,28.433333333333334,9.2,okekech01,2022
2022-01-14,22.183333333333334,7.3,okekech01,2022
2022-01-15,25.233333333333334,5.2,okekech01,2022
2022-01-17,29.1,5.8,okekech01,2022
2022-01-19,20.95,17.7,okekech01,2022
2022-01-21,30.966666666666665,6.6,okekech01,2022
2022-01-23,30.15,14.0,okekech01,2022
2022-01-26,17.466666666666665,2.4,okekech01,2022
2022-01-28,25.05,17.0,okekech01,2022
2022-01-30,24.333333333333332,21.9,okekech01,2022
2022-02-01,22.816666666666666,7.8,okekech01,2022
2022-02-02,24.766666666666666,6.4,okekech01,2022
2022-02-05,18.683333333333334,0.1,okekech01,2022
2022-02-06,25.016666666666666,8.6,okekech01,2022
2022-02-08,28.8,14.2,okekech01,2022
2022-02-11,19.066666666666666,7.5,okekech01,2022
2022-02-12,26.366666666666667,12.6,okekech01,2022
2022-02-14,31.583333333333332,11.8,okekech01,2022
2022-02-16,29.116666666666667,5.9,okekech01,2022
2022-02-25,31.483333333333334,29.7,okekech01,2022
2022-02-28,24.016666666666666,7.3,okekech01,2022
2022-03-02,19.133333333333333,6.2,okekech01,2022
2022-03-04,30.1,10.5,okekech01,2022
2022-03-05,34.1,3.8,okekech01,2022
2022-03-08,25.566666666666666,3.2,okekech01,2022
2022-03-09,28.066666666666666,6.7,okekech01,2022
2022-03-11,15.166666666666666,1.8,okekech01,2022
2022-03-13,20.466666666666665,11.1,okekech01,2022
2022-03-15,30.033333333333335,4.8,okekech01,2022
2022-03-20,30.55,9.5,okekech01,2022
2022-03-22,24.5,7.6,okekech01,2022
2022-03-23,34.63333333333333,10.2,okekech01,2022
2022-03-26,34.18333333333333,3.8,okekech01,2022
2022-03-28,25.433333333333334,3.1,okekech01,2022
2022-03-30,30.483333333333334,2.2,okekech01,2022
2022-04-01,24.316666666666666,3.9,okekech01,2022
2022-04-03,19.95,2.3,okekech01,2022
2022-04-05,32.833333333333336,12.3,okekech01,2022
2022-04-07,34.28333333333333,21.6,okekech01,2022
2022-04-10,29.266666666666666,12.0,okekech01,2022
