Date,MP,GmSc,player_id,season
2022-10-19,21.116666666666667,10.5,okongon01,2023
2022-10-21,16.383333333333333,0.7,okongon01,2023
2022-10-23,23.383333333333333,8.8,okongon01,2023
2022-10-26,21.3,10.3,okongon01,2023
2022-10-28,21.516666666666666,18.2,okongon01,2023
2022-10-29,19.216666666666665,4.1,okongon01,2023
2022-10-31,16.25,8.2,okongon01,2023
2022-11-02,19.35,6.2,okongon01,2023
2022-11-05,17.733333333333334,3.0,okongon01,2023
2022-11-07,22.0,10.7,okongon01,2023
2022-11-09,19.983333333333334,6.9,okongon01,2023
2022-11-10,21.25,10.3,okongon01,2023
2022-11-14,17.133333333333333,5.0,okongon01,2023
2022-11-16,20.5,6.3,okongon01,2023
2022-11-19,18.65,2.4,okongon01,2023
2022-11-21,19.733333333333334,16.9,okongon01,2023
2022-11-23,19.183333333333334,4.6,okongon01,2023
2022-11-25,32.7,9.3,okongon01,2023
2022-11-27,33.65,5.7,okongon01,2023
2022-11-28,14.766666666666667,0.5,okongon01,2023
2022-11-30,17.183333333333334,10.6,okongon01,2023
2022-12-02,17.466666666666665,9.9,okongon01,2023
2022-12-05,17.6,6.1,okongon01,2023
2022-12-07,24.35,8.0,okongon01,2023
2022-12-09,19.133333333333333,6.5,okongon01,2023
2022-12-11,21.933333333333334,13.8,okongon01,2023
2022-12-12,28.466666666666665,6.0,okongon01,2023
2022-12-14,25.95,14.7,okongon01,2023
2022-12-16,22.683333333333334,8.1,okongon01,2023
2022-12-19,27.8,10.7,okongon01,2023
2022-12-21,40.166666666666664,18.7,okongon01,2023
2022-12-23,20.733333333333334,14.4,okongon01,2023
2022-12-27,20.7,5.3,okongon01,2023
2022-12-28,36.916666666666664,19.1,okongon01,2023
2022-12-30,42.583333333333336,16.2,okongon01,2023
2023-01-02,38.43333333333333,15.6,okongon01,2023
2023-01-04,32.15,5.0,okongon01,2023
2023-01-06,28.333333333333332,14.5,okongon01,2023
2023-01-08,34.583333333333336,5.6,okongon01,2023
2023-01-11,33.11666666666667,10.9,okongon01,2023
2023-01-13,39.166666666666664,26.2,okongon01,2023
2023-01-14,36.6,10.9,okongon01,2023
2023-01-16,27.3,6.1,okongon01,2023
2023-01-18,24.9,7.1,okongon01,2023
2023-01-20,26.983333333333334,16.4,okongon01,2023
2023-01-21,24.4,4.4,okongon01,2023
2023-01-25,20.4,7.2,okongon01,2023
2023-01-28,20.05,7.4,okongon01,2023
2023-01-30,19.283333333333335,10.2,okongon01,2023
2023-02-01,19.95,15.7,okongon01,2023
2023-02-03,22.266666666666666,14.4,okongon01,2023
2023-02-04,19.0,6.1,okongon01,2023
2023-02-07,19.8,10.0,okongon01,2023
2023-02-09,22.683333333333334,13.4,okongon01,2023
2023-02-11,18.95,5.3,okongon01,2023
2023-02-13,18.75,16.0,okongon01,2023
2023-02-15,18.516666666666666,2.9,okongon01,2023
2023-02-24,25.016666666666666,17.5,okongon01,2023
2023-02-26,28.4,8.7,okongon01,2023
2023-02-28,12.766666666666667,3.0,okongon01,2023
2023-03-03,22.666666666666668,5.2,okongon01,2023
2023-03-04,23.066666666666666,12.0,okongon01,2023
2023-03-06,14.133333333333333,2.1,okongon01,2023
2023-03-08,20.583333333333332,7.0,okongon01,2023
2023-03-10,18.566666666666666,5.8,okongon01,2023
2023-03-11,22.866666666666667,15.2,okongon01,2023
2023-03-13,24.616666666666667,19.6,okongon01,2023
2023-03-17,23.916666666666668,21.1,okongon01,2023
2023-03-19,20.116666666666667,17.4,okongon01,2023
2023-03-21,19.85,12.5,okongon01,2023
2023-03-22,18.883333333333333,10.3,okongon01,2023
2023-03-25,17.9,17.1,okongon01,2023
2023-03-26,19.116666666666667,14.8,okongon01,2023
2023-03-28,20.433333333333334,21.1,okongon01,2023
2023-03-31,19.333333333333332,12.6,okongon01,2023
2023-04-02,20.6,11.2,okongon01,2023
2023-04-04,19.966666666666665,10.9,okongon01,2023
2023-04-05,23.85,5.6,okongon01,2023
2023-04-07,20.5,7.8,okongon01,2023
2023-04-09,26.35,12.0,okongon01,2023
