Date,MP,GmSc,player_id,season
2023-10-30,22.8,2.5,podzibr01,2024
2023-11-05,8.283333333333333,-1.0,podzibr01,2024
2023-11-06,0.48333333333333334,0.0,podzibr01,2024
2023-11-08,11.233333333333333,5.6,podzibr01,2024
2023-11-11,8.35,3.0,podzibr01,2024
2023-11-12,1.2666666666666666,7.4,podzibr01,2024
2023-11-14,38.95,16.4,podzibr01,2024
2023-11-16,25.0,12.0,podzibr01,2024
2023-11-18,25.033333333333335,4.2,podzibr01,2024
2023-11-20,17.95,4.8,podzibr01,2024
2023-11-22,23.433333333333334,10.9,podzibr01,2024
2023-11-24,11.766666666666667,-1.8,podzibr01,2024
2023-11-30,31.25,11.4,podzibr01,2024
2023-12-02,36.516666666666666,12.2,podzibr01,2024
2023-12-06,21.2,1.3,podzibr01,2024
2023-12-08,23.0,12.1,podzibr01,2024
2023-12-12,28.6,19.4,podzibr01,2024
2023-12-14,34.55,2.1,podzibr01,2024
2023-12-16,32.13333333333333,13.4,podzibr01,2024
2023-12-17,33.4,9.8,podzibr01,2024
2023-12-19,16.266666666666666,4.8,podzibr01,2024
2023-12-22,28.95,10.9,podzibr01,2024
2023-12-23,31.533333333333335,17.0,podzibr01,2024
2023-12-25,34.4,20.8,podzibr01,2024
2023-12-28,27.783333333333335,9.0,podzibr01,2024
2023-12-30,28.866666666666667,13.9,podzibr01,2024
2024-01-02,28.433333333333334,9.7,podzibr01,2024
2024-01-04,28.25,12.3,podzibr01,2024
2024-01-05,24.633333333333333,11.9,podzibr01,2024
2024-01-07,28.55,3.7,podzibr01,2024
2024-01-10,25.45,1.1,podzibr01,2024
2024-01-12,27.216666666666665,3.1,podzibr01,2024
2024-01-13,35.733333333333334,23.1,podzibr01,2024
2024-01-15,26.883333333333333,2.4,podzibr01,2024
2024-01-24,26.7,5.6,podzibr01,2024
2024-01-25,26.9,5.6,podzibr01,2024
2024-01-27,27.966666666666665,12.1,podzibr01,2024
2024-01-30,36.55,5.4,podzibr01,2024
2024-02-02,34.06666666666667,22.6,podzibr01,2024
2024-02-03,38.86666666666667,14.9,podzibr01,2024
2024-02-05,37.93333333333333,12.6,podzibr01,2024
2024-02-07,25.35,8.2,podzibr01,2024
2024-02-08,33.86666666666667,10.4,podzibr01,2024
2024-02-10,35.18333333333333,8.5,podzibr01,2024
2024-02-12,24.916666666666668,5.2,podzibr01,2024
2024-02-14,32.4,26.3,podzibr01,2024
2024-02-15,33.766666666666666,12.8,podzibr01,2024
2024-02-22,27.833333333333332,5.0,podzibr01,2024
2024-02-23,31.233333333333334,13.4,podzibr01,2024
2024-02-25,30.1,5.0,podzibr01,2024
2024-02-27,28.066666666666666,7.3,podzibr01,2024
2024-02-29,32.21666666666667,2.5,podzibr01,2024
2024-03-06,26.266666666666666,8.2,podzibr01,2024
2024-03-07,26.966666666666665,11.9,podzibr01,2024
2024-03-09,30.616666666666667,11.5,podzibr01,2024
2024-03-11,34.53333333333333,13.5,podzibr01,2024
2024-03-13,27.683333333333334,11.5,podzibr01,2024
2024-03-16,34.75,6.4,podzibr01,2024
2024-03-18,25.066666666666666,-0.5,podzibr01,2024
2024-03-20,22.85,3.9,podzibr01,2024
2024-03-22,27.15,14.0,podzibr01,2024
2024-03-24,18.616666666666667,4.8,podzibr01,2024
2024-03-26,22.033333333333335,5.5,podzibr01,2024
2024-03-27,21.483333333333334,5.4,podzibr01,2024
2024-03-29,25.716666666666665,4.1,podzibr01,2024
2024-03-31,23.583333333333332,13.0,podzibr01,2024
2024-04-02,30.666666666666668,7.7,podzibr01,2024
2024-04-04,24.4,3.3,podzibr01,2024
2024-04-05,25.016666666666666,10.2,podzibr01,2024
2024-04-07,30.783333333333335,17.5,podzibr01,2024
2024-04-09,20.35,12.5,podzibr01,2024
2024-04-11,32.7,8.0,podzibr01,2024
2024-04-12,23.45,5.5,podzibr01,2024
2024-04-14,21.45,10.6,podzibr01,2024
