Date,MP,GmSc,player_id,season
2023-10-25,26.316666666666666,9.2,poolejo01,2024
2023-10-28,35.75,11.8,poolejo01,2024
2023-10-30,25.266666666666666,7.9,poolejo01,2024
2023-11-01,20.483333333333334,6.2,poolejo01,2024
2023-11-03,28.416666666666668,17.3,poolejo01,2024
2023-11-06,31.266666666666666,17.3,poolejo01,2024
2023-11-08,20.4,3.3,poolejo01,2024
2023-11-10,31.233333333333334,6.8,poolejo01,2024
2023-11-12,32.2,3.4,poolejo01,2024
2023-11-13,35.166666666666664,9.1,poolejo01,2024
2023-11-15,32.06666666666667,4.9,poolejo01,2024
2023-11-17,28.516666666666666,-1.6,poolejo01,2024
2023-11-20,32.7,15.6,poolejo01,2024
2023-11-22,33.1,15.8,poolejo01,2024
2023-11-24,33.75,17.6,poolejo01,2024
2023-11-27,25.383333333333333,2.8,poolejo01,2024
2023-11-29,26.133333333333333,14.6,poolejo01,2024
2023-12-01,30.333333333333332,7.4,poolejo01,2024
2023-12-06,31.766666666666666,14.3,poolejo01,2024
2023-12-08,23.6,2.1,poolejo01,2024
2023-12-11,26.1,3.2,poolejo01,2024
2023-12-13,31.483333333333334,5.6,poolejo01,2024
2023-12-15,32.21666666666667,26.0,poolejo01,2024
2023-12-17,31.883333333333333,3.5,poolejo01,2024
2023-12-18,28.533333333333335,18.2,poolejo01,2024
2023-12-21,34.38333333333333,7.5,poolejo01,2024
2023-12-22,26.883333333333333,15.9,poolejo01,2024
2023-12-26,32.85,21.9,poolejo01,2024
2023-12-27,27.533333333333335,10.3,poolejo01,2024
2023-12-29,24.683333333333334,2.5,poolejo01,2024
2023-12-31,28.733333333333334,10.2,poolejo01,2024
2024-01-03,22.7,2.8,poolejo01,2024
2024-01-05,23.333333333333332,-1.0,poolejo01,2024
2024-01-06,29.883333333333333,6.7,poolejo01,2024
2024-01-08,29.316666666666666,15.4,poolejo01,2024
2024-01-10,33.583333333333336,24.2,poolejo01,2024
2024-01-13,25.833333333333332,14.3,poolejo01,2024
2024-01-15,31.833333333333332,7.8,poolejo01,2024
2024-01-18,34.03333333333333,16.7,poolejo01,2024
2024-01-20,28.733333333333334,9.8,poolejo01,2024
2024-01-21,27.916666666666668,-3.8,poolejo01,2024
2024-01-24,28.183333333333334,-2.4,poolejo01,2024
2024-01-25,28.333333333333332,15.0,poolejo01,2024
2024-01-27,29.166666666666668,13.7,poolejo01,2024
2024-01-29,33.25,6.6,poolejo01,2024
2024-02-02,32.6,12.0,poolejo01,2024
2024-02-04,19.783333333333335,3.7,poolejo01,2024
2024-02-07,24.566666666666666,-1.8,poolejo01,2024
2024-02-09,37.166666666666664,8.2,poolejo01,2024
2024-02-10,29.283333333333335,9.4,poolejo01,2024
2024-02-12,26.5,0.0,poolejo01,2024
2024-02-14,35.1,14.8,poolejo01,2024
2024-02-22,30.15,6.7,poolejo01,2024
2024-02-23,22.5,8.9,poolejo01,2024
2024-02-25,37.55,22.3,poolejo01,2024
2024-02-27,29.366666666666667,1.7,poolejo01,2024
2024-02-29,38.1,23.5,poolejo01,2024
2024-03-01,21.4,9.7,poolejo01,2024
2024-03-04,28.866666666666667,24.4,poolejo01,2024
2024-03-06,32.36666666666667,16.8,poolejo01,2024
2024-03-08,34.083333333333336,11.2,poolejo01,2024
2024-03-10,22.566666666666666,3.0,poolejo01,2024
2024-03-12,26.533333333333335,5.9,poolejo01,2024
2024-03-14,31.55,15.8,poolejo01,2024
2024-03-16,22.516666666666666,8.8,poolejo01,2024
2024-03-17,23.383333333333333,24.1,poolejo01,2024
2024-03-19,27.55,1.7,poolejo01,2024
2024-03-21,35.96666666666667,9.9,poolejo01,2024
2024-03-23,38.11666666666667,19.4,poolejo01,2024
2024-03-25,29.316666666666666,13.4,poolejo01,2024
2024-03-27,44.5,29.3,poolejo01,2024
2024-03-29,37.233333333333334,-2.7,poolejo01,2024
2024-03-31,34.1,14.2,poolejo01,2024
2024-04-02,35.3,16.7,poolejo01,2024
2024-04-03,34.016666666666666,22.4,poolejo01,2024
2024-04-05,35.483333333333334,14.6,poolejo01,2024
2024-04-07,39.983333333333334,25.1,poolejo01,2024
2024-04-09,32.766666666666666,15.9,poolejo01,2024
