Date,MP,GmSc,player_id,season
2021-10-20,24.683333333333334,15.7,russeda01,2022
2021-10-23,29.183333333333334,-1.2,russeda01,2022
2021-10-25,29.55,5.7,russeda01,2022
2021-10-27,36.1,17.4,russeda01,2022
2021-10-30,31.4,8.9,russeda01,2022
2021-11-01,16.916666666666668,0.7,russeda01,2022
2021-11-08,40.78333333333333,23.1,russeda01,2022
2021-11-10,34.11666666666667,10.6,russeda01,2022
2021-11-12,33.96666666666667,14.1,russeda01,2022
2021-11-13,30.016666666666666,14.1,russeda01,2022
2021-11-15,34.9,13.9,russeda01,2022
2021-11-17,34.43333333333333,15.3,russeda01,2022
2021-11-18,31.1,13.8,russeda01,2022
2021-11-20,27.083333333333332,22.6,russeda01,2022
2021-11-22,30.933333333333334,6.0,russeda01,2022
2021-11-24,36.583333333333336,16.1,russeda01,2022
2021-11-26,28.466666666666665,13.2,russeda01,2022
2021-11-27,43.85,25.9,russeda01,2022
2021-11-29,38.68333333333333,21.2,russeda01,2022
2021-12-01,39.03333333333333,4.4,russeda01,2022
2021-12-03,34.28333333333333,12.4,russeda01,2022
2021-12-12,35.016666666666666,15.4,russeda01,2022
2021-12-15,33.0,14.9,russeda01,2022
2021-12-17,27.366666666666667,11.0,russeda01,2022
2021-12-19,34.68333333333333,14.9,russeda01,2022
2021-12-21,35.766666666666666,8.5,russeda01,2022
2021-12-23,41.15,15.9,russeda01,2022
2022-01-05,30.216666666666665,-0.5,russeda01,2022
2022-01-07,31.116666666666667,30.7,russeda01,2022
2022-01-09,33.0,22.7,russeda01,2022
2022-01-11,33.65,14.6,russeda01,2022
2022-01-13,34.6,21.1,russeda01,2022
2022-01-16,22.416666666666668,7.4,russeda01,2022
2022-01-18,25.083333333333332,11.8,russeda01,2022
2022-01-19,34.93333333333333,23.2,russeda01,2022
2022-01-23,31.383333333333333,23.4,russeda01,2022
2022-01-25,35.21666666666667,11.8,russeda01,2022
2022-01-27,19.816666666666666,5.7,russeda01,2022
2022-02-06,30.316666666666666,19.3,russeda01,2022
2022-02-08,23.6,10.3,russeda01,2022
2022-02-09,36.016666666666666,24.1,russeda01,2022
2022-02-11,28.866666666666667,10.9,russeda01,2022
2022-02-13,35.46666666666667,20.0,russeda01,2022
2022-02-15,37.36666666666667,10.9,russeda01,2022
2022-02-16,32.4,5.8,russeda01,2022
2022-02-24,38.31666666666667,30.2,russeda01,2022
2022-02-25,28.033333333333335,15.6,russeda01,2022
2022-02-28,34.78333333333333,16.1,russeda01,2022
2022-03-01,29.4,17.1,russeda01,2022
2022-03-04,25.416666666666668,17.8,russeda01,2022
2022-03-05,35.15,16.8,russeda01,2022
2022-03-09,29.2,9.4,russeda01,2022
2022-03-11,39.333333333333336,9.3,russeda01,2022
2022-03-12,33.75,10.2,russeda01,2022
2022-03-14,29.15,20.6,russeda01,2022
2022-03-16,30.416666666666668,1.4,russeda01,2022
2022-03-19,30.216666666666665,12.2,russeda01,2022
2022-03-21,28.983333333333334,12.1,russeda01,2022
2022-03-23,27.016666666666666,5.3,russeda01,2022
2022-03-25,30.65,11.1,russeda01,2022
2022-03-27,30.65,3.9,russeda01,2022
2022-03-30,27.716666666666665,4.4,russeda01,2022
2022-04-01,36.56666666666667,19.3,russeda01,2022
2022-04-03,34.65,18.0,russeda01,2022
2022-04-05,28.633333333333333,15.8,russeda01,2022
