Date,MP,GmSc,player_id,season
2023-10-25,28.683333333333334,8.5,sochaje01,2024
2023-10-27,26.383333333333333,13.2,sochaje01,2024
2023-10-29,22.483333333333334,-0.8,sochaje01,2024
2023-10-31,30.25,7.2,sochaje01,2024
2023-11-02,26.383333333333333,14.0,sochaje01,2024
2023-11-05,28.816666666666666,3.9,sochaje01,2024
2023-11-06,20.65,0.1,sochaje01,2024
2023-11-08,29.233333333333334,13.7,sochaje01,2024
2023-11-10,29.7,10.9,sochaje01,2024
2023-11-12,33.916666666666664,12.9,sochaje01,2024
2023-11-14,27.7,3.9,sochaje01,2024
2023-11-17,36.8,5.5,sochaje01,2024
2023-11-18,32.06666666666667,14.2,sochaje01,2024
2023-11-20,29.4,3.3,sochaje01,2024
2023-11-22,31.55,15.5,sochaje01,2024
2023-11-24,32.96666666666667,6.3,sochaje01,2024
2023-11-26,17.166666666666668,0.3,sochaje01,2024
2023-11-30,35.8,29.8,sochaje01,2024
2023-12-01,31.266666666666666,6.0,sochaje01,2024
2023-12-06,21.95,0.5,sochaje01,2024
2023-12-08,33.983333333333334,-1.2,sochaje01,2024
2023-12-11,35.333333333333336,2.7,sochaje01,2024
2023-12-13,29.283333333333335,2.0,sochaje01,2024
2023-12-15,26.95,9.7,sochaje01,2024
2023-12-17,25.483333333333334,4.8,sochaje01,2024
2023-12-19,32.85,12.4,sochaje01,2024
2023-12-21,33.96666666666667,9.7,sochaje01,2024
2023-12-23,29.883333333333333,17.5,sochaje01,2024
2023-12-26,27.35,18.4,sochaje01,2024
2023-12-28,30.566666666666666,12.7,sochaje01,2024
2023-12-29,28.633333333333333,1.5,sochaje01,2024
2023-12-31,24.2,5.9,sochaje01,2024
2024-01-02,27.733333333333334,10.3,sochaje01,2024
2024-01-04,32.583333333333336,10.5,sochaje01,2024
2024-01-07,27.833333333333332,9.2,sochaje01,2024
2024-01-10,28.366666666666667,8.9,sochaje01,2024
2024-01-12,25.616666666666667,16.0,sochaje01,2024
2024-01-13,31.166666666666668,5.0,sochaje01,2024
2024-01-15,38.083333333333336,19.2,sochaje01,2024
2024-01-17,30.516666666666666,8.5,sochaje01,2024
2024-01-19,34.46666666666667,12.3,sochaje01,2024
2024-01-20,28.216666666666665,23.4,sochaje01,2024
2024-01-22,33.266666666666666,11.5,sochaje01,2024
2024-01-24,24.3,-0.6,sochaje01,2024
2024-01-26,31.8,29.0,sochaje01,2024
2024-01-27,30.666666666666668,10.4,sochaje01,2024
2024-01-29,26.283333333333335,0.7,sochaje01,2024
2024-01-31,33.016666666666666,13.1,sochaje01,2024
2024-02-02,30.533333333333335,14.9,sochaje01,2024
2024-02-03,29.216666666666665,1.1,sochaje01,2024
2024-02-07,28.8,4.1,sochaje01,2024
2024-02-08,28.166666666666668,3.2,sochaje01,2024
2024-02-10,29.2,8.3,sochaje01,2024
2024-02-12,30.05,11.8,sochaje01,2024
2024-02-14,24.983333333333334,7.5,sochaje01,2024
2024-02-22,35.95,11.7,sochaje01,2024
2024-02-23,34.36666666666667,14.6,sochaje01,2024
2024-02-25,29.15,1.3,sochaje01,2024
2024-02-27,15.983333333333333,-1.1,sochaje01,2024
2024-02-29,31.983333333333334,15.6,sochaje01,2024
2024-03-03,34.03333333333333,13.7,sochaje01,2024
2024-03-05,33.6,10.1,sochaje01,2024
2024-03-07,35.8,6.2,sochaje01,2024
2024-03-09,24.383333333333333,10.1,sochaje01,2024
2024-03-11,28.2,11.6,sochaje01,2024
2024-03-12,32.166666666666664,17.9,sochaje01,2024
2024-03-15,28.416666666666668,14.4,sochaje01,2024
2024-03-17,42.36666666666667,4.8,sochaje01,2024
2024-03-19,29.816666666666666,8.9,sochaje01,2024
2024-03-22,30.916666666666668,4.6,sochaje01,2024
2024-03-23,21.366666666666667,3.9,sochaje01,2024
2024-03-25,35.61666666666667,24.5,sochaje01,2024
2024-03-27,35.63333333333333,16.2,sochaje01,2024
2024-03-29,16.75,3.0,sochaje01,2024
