Date,MP,GmSc,player_id,season
2023-10-25,35.96666666666667,8.6,townska01,2024
2023-10-28,31.0,8.4,townska01,2024
2023-10-30,36.18333333333333,13.0,townska01,2024
2023-11-01,30.833333333333332,16.7,townska01,2024
2023-11-04,32.05,18.8,townska01,2024
2023-11-06,27.766666666666666,-3.1,townska01,2024
2023-11-08,27.733333333333334,14.0,townska01,2024
2023-11-10,34.28333333333333,20.7,townska01,2024
2023-11-12,37.35,22.8,townska01,2024
2023-11-14,41.68333333333333,21.3,townska01,2024
2023-11-15,31.116666666666667,18.8,townska01,2024
2023-11-18,33.233333333333334,33.2,townska01,2024
2023-11-20,35.75,18.3,townska01,2024
2023-11-22,36.15,15.7,townska01,2024
2023-11-24,38.28333333333333,21.4,townska01,2024
2023-11-26,25.933333333333334,12.6,townska01,2024
2023-11-28,31.833333333333332,5.7,townska01,2024
2023-11-30,36.516666666666666,26.2,townska01,2024
2023-12-02,32.016666666666666,19.3,townska01,2024
2023-12-06,32.06666666666667,10.1,townska01,2024
2023-12-08,29.416666666666668,21.4,townska01,2024
2023-12-11,32.61666666666667,13.0,townska01,2024
2023-12-14,31.133333333333333,19.1,townska01,2024
2023-12-16,34.95,37.5,townska01,2024
2023-12-18,31.633333333333333,15.2,townska01,2024
2023-12-20,37.63333333333333,17.3,townska01,2024
2023-12-21,33.483333333333334,15.9,townska01,2024
2023-12-26,29.233333333333334,8.5,townska01,2024
2023-12-28,27.166666666666668,0.3,townska01,2024
2023-12-30,28.85,3.2,townska01,2024
2024-01-01,31.866666666666667,19.7,townska01,2024
2024-01-03,36.166666666666664,13.7,townska01,2024
2024-01-05,31.333333333333332,16.6,townska01,2024
2024-01-07,27.433333333333334,14.8,townska01,2024
2024-01-09,33.75,25.0,townska01,2024
2024-01-10,44.35,23.4,townska01,2024
2024-01-12,27.75,24.5,townska01,2024
2024-01-14,36.6,10.7,townska01,2024
2024-01-17,30.933333333333334,22.7,townska01,2024
2024-01-18,29.366666666666667,9.6,townska01,2024
2024-01-20,35.78333333333333,14.0,townska01,2024
2024-01-22,37.9,41.5,townska01,2024
2024-01-24,34.583333333333336,16.6,townska01,2024
2024-01-25,37.2,19.2,townska01,2024
2024-01-27,32.233333333333334,13.5,townska01,2024
2024-01-29,38.95,19.0,townska01,2024
2024-01-31,31.166666666666668,25.6,townska01,2024
2024-02-02,35.416666666666664,6.5,townska01,2024
2024-02-04,27.333333333333332,8.8,townska01,2024
2024-02-06,38.61666666666667,24.4,townska01,2024
2024-02-08,29.65,11.3,townska01,2024
2024-02-12,27.033333333333335,20.2,townska01,2024
2024-02-13,19.216666666666665,8.7,townska01,2024
2024-02-15,29.733333333333334,19.2,townska01,2024
2024-02-23,34.75,15.7,townska01,2024
2024-02-24,36.31666666666667,24.0,townska01,2024
2024-02-28,37.38333333333333,10.3,townska01,2024
2024-03-01,36.516666666666666,11.2,townska01,2024
2024-03-03,34.36666666666667,13.1,townska01,2024
2024-03-04,21.316666666666666,8.3,townska01,2024
2024-04-12,27.533333333333335,9.3,townska01,2024
2024-04-14,29.2,2.6,townska01,2024
